Student #,School,Grade Level,Fall ELA MAP,Fall Math MAP,Winter ELA MAP,Winter Math MAP,Spring Math MAP,ELA IAR Score,Math IAR Score,ELA IAR,Math IAR
10001,School 1,3,187,194,,,,739,722,3,2
10002,School 1,3,160,191,,,,713,729,2,2
10003,School 1,3,191,199,,,,745,742,3,3
10004,School 1,3,184,180,,,,709,713,2,2
10005,School 1,3,201,196,,,,742,737,3,3
10006,School 1,3,162,164,,,,720,719,2,2
10007,School 1,3,183,197,,,,733,723,2,2
10008,School 1,3,196,180,,,,736,705,3,2
10009,School 1,3,172,197,,,,720,764,2,3
10010,School 1,3,185,200,,,,748,774,3,3
10011,School 1,3,172,189,,,,716,742,2,3
10012,School 1,3,181,196,,,,733,750,2,3
10013,School 1,3,216,212,,,,801,799,4,4
10014,School 1,3,200,196,,,,759,739,3,3
10015,School 1,3,158,171,,,,713,705,2,2
10016,School 1,3,225,202,,,,827,762,4,3
10017,School 1,3,189,193,,,,727,748,2,3
10018,School 1,3,196,,,,,784,739,4,3
10019,School 1,3,200,196,,,,757,742,3,3
10020,School 1,3,193,188,,,,716,697,2,1
10021,School 1,3,194,195,,,,733,751,2,3
10022,School 1,3,171,197,,,,720,732,2,3
10023,School 1,3,209,209,,,,777,794,3,4
10024,School 1,3,170,191,,,,679,737,1,3
10025,School 1,3,187,206,,,,760,781,3,4
10026,School 1,3,186,190,,,,746,738,3,3
10027,School 1,3,193,186,,,,709,725,2,2
10028,School 1,3,175,175,,,,683,710,1,2
10029,School 1,3,166,178,,,,700,701,2,1
10030,School 1,3,,,,,,657,650,1,1
10031,School 1,3,,,,,,,,,
10032,School 1,3,202,198,,,,755,746,3,3
10033,School 1,3,183,168,,,,716,692,2,1
10034,School 1,3,168,178,,,,696,716,2,2
10035,School 1,3,179,182,,,,739,705,3,2
10036,School 1,3,150,131,,,,671,650,1,1
10037,School 1,3,188,181,,,,723,717,2,2
10038,School 1,3,163,172,,,,700,716,2,2
10039,School 1,3,197,198,,,,752,731,3,2
10040,School 1,3,183,206,,,,763,767,3,3
10041,School 1,3,158,170,,,,679,706,1,2
10042,School 1,3,177,187,,,,716,753,2,3
10043,School 1,3,179,180,,,,695,697,2,1
10044,School 1,3,195,196,,,,762,750,3,3
10045,School 1,3,186,204,,,,700,742,2,3
10046,School 1,3,213,208,,,,809,781,4,4
10047,School 1,3,177,185,,,,742,737,3,3
10048,School 1,3,184,190,,,,759,774,3,3
10049,School 1,3,176,208,,,,691,739,2,3
10050,School 1,3,169,171,,,,700,713,2,2
10051,School 2,3,195,185,,,,762,729,3,2
10052,School 2,3,180,191,,,,733,720,2,2
10053,School 2,3,194,196,,,,,,,
10054,School 2,3,154,181,,,,695,719,2,2
10055,School 2,3,179,183,,,,690,717,2,2
10056,School 2,3,200,183,,,,769,746,3,3
10057,School 2,3,188,196,,,,720,745,2,3
10058,School 2,3,182,190,,,,749,742,3,3
10059,School 2,3,171,181,,,,709,735,2,3
10060,School 2,3,157,144,,,,736,698,3,1
10061,School 2,3,166,176,,,,685,719,2,2
10062,School 2,3,189,193,,,,757,745,3,3
10063,School 2,3,178,192,,,,730,705,2,2
10064,School 2,3,206,195,,,,748,759,3,3
10065,School 2,3,204,202,,,,751,781,3,4
10066,School 2,3,185,195,,,,723,746,2,3
10067,School 2,3,210,196,,,,805,751,4,3
10068,School 2,3,194,178,,,,736,722,3,2
10069,School 2,3,201,188,,,,766,764,3,3
10070,School 2,3,188,197,,,,752,768,3,3
10071,School 2,3,179,176,,,,763,720,3,2
10072,School 2,3,187,200,,,,713,768,2,3
10073,School 2,3,194,194,,,,769,725,3,2
10074,School 2,3,164,168,,,,661,697,1,1
10075,School 2,3,149,177,,,,671,702,1,1
10076,School 2,3,202,195,,,,801,770,4,3
10077,School 2,3,208,185,,,,769,754,3,3
10078,School 2,3,168,183,,,,690,720,2,2
10079,School 2,3,198,197,,,,730,748,2,3
10080,School 2,3,196,195,,,,760,761,3,3
10081,School 2,3,215,201,,,,792,771,4,3
10082,School 2,3,201,194,,,,769,758,3,3
10083,School 2,3,193,193,,,,769,728,3,2
10084,School 2,3,157,170,,,,676,693,1,1
10085,School 2,3,158,174,,,,668,709,1,2
10086,School 2,3,185,192,,,,733,748,2,3
10087,School 2,3,171,182,,,,742,734,3,3
10088,School 2,3,189,188,,,,763,751,3,3
10089,School 2,3,207,201,,,,796,767,4,3
10090,School 2,3,193,187,,,,730,734,2,3
10091,School 2,3,,,,,,695,725,2,2
10092,School 2,3,181,172,,,,730,720,2,2
10093,School 2,3,209,194,,,,801,739,4,3
10094,School 2,3,188,183,,,,749,737,3,3
10095,School 2,3,171,193,,,,746,728,3,2
10096,School 2,3,199,201,,,,785,774,4,3
10097,School 2,3,196,194,,,,754,768,3,3
10098,School 2,3,195,197,,,,777,758,3,3
10099,School 2,3,189,188,,,,727,722,2,2
10100,School 2,3,195,194,,,,733,737,2,3
10101,School 1,4,194,182,,,,709,708,2,2
10102,School 1,4,206,204,,,,733,743,2,3
10103,School 1,4,214,209,,,,739,747,3,3
10104,School 1,4,,206,,,,749,751,3,3
10105,School 1,4,206,214,,,,775,770,3,3
10106,School 1,4,159,161,,,,690,677,1,1
10107,School 1,4,204,207,,,,758,739,3,2
10108,School 1,4,165,173,,,,697,677,2,1
10109,School 1,4,215,198,,,,762,726,3,2
10110,School 1,4,170,195,,,,662,714,1,2
10111,School 1,4,,,,,,,,,
10112,School 1,4,205,197,,,,769,740,3,3
10113,School 1,4,174,178,,,,692,680,1,1
10114,School 1,4,212,205,,,,751,776,3,3
10115,School 1,4,206,204,,,,764,756,3,3
10116,School 1,4,170,197,,,,678,693,1,1
10117,School 1,4,,,,,,650,677,1,1
10118,School 1,4,194,198,,,,715,725,2,2
10119,School 1,4,194,198,,,,732,734,2,2
10120,School 1,4,195,202,,,,730,728,2,2
10121,School 1,4,179,187,,,,720,715,2,2
10122,School 1,4,165,181,,,,692,698,1,1
10123,School 1,4,214,213,,,,730,754,2,3
10124,School 1,4,184,195,,,,697,728,2,2
10125,School 1,4,205,215,,,,760,767,3,3
10126,School 1,4,184,198,,,,709,711,2,2
10127,School 1,4,191,203,,,,727,726,2,2
10128,School 1,4,195,206,,,,715,726,2,2
10129,School 1,4,200,195,,,,754,736,3,2
10130,School 1,4,208,214,,,,782,745,4,3
10131,School 1,4,221,210,,,,762,754,3,3
10132,School 1,4,193,201,,,,732,745,2,3
10133,School 1,4,182,190,,,,692,736,1,2
10134,School 1,4,208,191,,,,723,717,2,2
10135,School 1,4,200,203,,,,755,745,3,3
10136,School 1,4,206,201,,,,760,749,3,3
10137,School 1,4,194,198,,,,733,740,2,3
10138,School 1,4,193,198,,,,756,715,3,2
10139,School 1,4,187,199,,,,727,739,2,2
10140,School 1,4,196,205,,,,750,761,3,3
10141,School 1,4,208,203,,,,755,740,3,3
10142,School 1,4,178,186,,,,720,686,2,1
10143,School 1,4,216,204,,,,780,754,4,3
10144,School 1,4,201,204,,,,753,754,3,3
10145,School 1,4,194,196,,,,685,732,1,2
10146,School 1,4,192,209,,,,743,756,3,3
10147,School 1,4,198,203,,,,758,754,3,3
10148,School 1,4,181,204,,,,705,754,2,3
10149,School 1,4,163,175,,,,678,658,1,1
10150,School 1,4,190,204,,,,753,739,3,2
